q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
300,180,1,46308,371784,10818,0,1,NaN
300,180,2,89399,367340,10737,0,2,NaN
300,180,3,126340,405650,12172,0,3,NaN
300,180,4,158593,478963,14780,0,4,NaN
300,180,5,190494,535901,16916,0,5,NaN
300,180,6,253452,556268,17116,0,6,NaN
300,180,7,143745,413730,17367,0,7,NaN
300,180,8,143728,370938,17414,0,8,NaN
300,180,9,143727,329048,17285,0,9,NaN
300,180,10,145295,288827,17417,0,10,NaN
300,180,11,144760,259841,17481,0,11,NaN
300,180,12,144426,258606,17218,0,12,NaN
300,180,13,144655,258618,17369,0,13,NaN
300,180,14,144555,258583,17322,0,14,NaN
300,180,15,144496,258581,17263,0,15,NaN
300,180,16,144590,247549,17356,0,16,NaN
300,180,17,144481,237940,17131,0,17,NaN
300,180,18,144729,258619,17524,0,18,NaN
300,180,19,144472,256896,17240,0,19,NaN
300,180,20,144539,237947,17425,0,20,NaN
300,360,1,0,260845,8820,0,1,NaN
300,360,2,0,208118,8942,0,2,NaN
300,360,3,0,159525,8940,0,3,NaN
300,360,4,22,116165,8920,0,4,NaN
300,360,5,20,93844,8729,0,5,NaN
300,360,6,22,93847,8974,0,6,NaN
300,360,7,24,93850,8836,0,7,NaN
300,360,8,24,93841,8795,0,8,NaN
300,360,9,23,93851,8919,0,9,NaN
300,360,10,24,93841,8982,0,10,NaN
300,360,11,23,93846,8944,0,11,NaN
300,360,12,23,93843,8811,0,12,NaN
300,360,13,21,93846,8861,0,13,NaN
300,360,14,24,93844,8762,0,14,NaN
300,360,15,24,93842,8756,0,15,NaN
300,360,16,25,93842,8690,0,16,NaN
300,360,17,21,93842,8882,0,17,NaN
300,360,18,23,93844,9047,0,18,NaN
300,360,19,23,93843,8821,0,19,NaN
300,360,20,25,93850,8695,0,20,NaN
300,540,1,0,165103,5994,0,1,NaN
300,540,2,0,112396,5943,0,2,NaN
300,540,3,0,63957,6070,0,3,NaN
300,540,4,0,48845,6043,0,4,NaN
300,540,5,0,48842,6043,0,5,NaN
300,540,6,0,48842,5958,0,6,NaN
300,540,7,0,48841,6076,0,7,NaN
300,540,8,0,48843,5899,0,8,NaN
300,540,9,0,48839,5898,0,9,NaN
300,540,10,0,48843,6127,0,10,NaN
300,540,11,0,48840,5936,0,11,NaN
300,540,12,0,48843,5960,0,12,NaN
300,540,13,0,48839,5895,0,13,NaN
300,540,14,0,48846,6114,0,14,NaN
300,540,15,0,48840,6028,0,15,NaN
300,540,16,0,48845,6045,0,16,NaN
300,540,17,0,48839,6155,0,17,NaN
300,540,18,0,48843,6030,0,18,NaN
300,540,19,0,48845,6056,0,19,NaN
300,540,20,0,48839,6027,0,20,NaN
300,720,1,0,117249,4789,0,1,NaN
300,720,2,0,64540,4675,0,2,NaN
300,720,3,0,26412,4684,0,3,NaN
300,720,4,0,26341,4682,0,4,NaN
300,720,5,0,26341,4645,0,5,NaN
300,720,6,0,26345,4720,0,6,NaN
300,720,7,0,26342,4610,0,7,NaN
300,720,8,0,26340,4612,0,8,NaN
300,720,9,0,26344,4602,0,9,NaN
300,720,10,0,26344,4707,0,10,NaN
300,720,11,0,26338,4644,0,11,NaN
300,720,12,0,26341,4850,0,12,NaN
300,720,13,0,26339,4616,0,13,NaN
300,720,14,0,26342,4800,0,14,NaN
300,720,15,0,26341,4747,0,15,NaN
300,720,16,0,26339,4741,0,16,NaN
300,720,17,0,26344,4602,0,17,NaN
300,720,18,0,26345,4648,0,18,NaN
300,720,19,0,26341,4726,0,19,NaN
300,720,20,0,26341,4577,0,20,NaN
300,900,1,0,88527,3818,0,1,NaN
300,900,2,0,35816,3770,0,2,NaN
300,900,3,0,12840,3796,0,3,NaN
300,900,4,0,12844,3849,0,4,NaN
300,900,5,0,12839,3815,0,5,NaN
300,900,6,0,12843,3817,0,6,NaN
300,900,7,0,12841,3782,0,7,NaN
300,900,8,0,12842,3741,0,8,NaN
300,900,9,0,12840,3840,0,9,NaN
300,900,10,0,12842,3814,0,10,NaN
300,900,11,0,12839,3797,0,11,NaN
300,900,12,0,12841,3808,0,12,NaN
300,900,13,0,12841,3779,0,13,NaN
300,900,14,0,12843,3784,0,14,NaN
300,900,15,0,12841,3794,0,15,NaN
300,900,16,0,12840,3873,0,16,NaN
300,900,17,0,12841,3912,0,17,NaN
300,900,18,0,12842,3747,0,18,NaN
300,900,19,0,12842,3798,0,19,NaN
300,900,20,0,12840,3700,0,20,NaN
