file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-015 (1),300,180,1,46308,371520,5272,0,1,2751.79521377324
input-data-passengers-015 (1),300,180,2,89400,367091,5191,0,2,2379.44505518999
input-data-passengers-015 (1),300,180,3,126454,405440,5509,0,3,2456.46313525302
input-data-passengers-015 (1),300,180,4,158457,478404,6033,0,4,2119.87386622414
input-data-passengers-015 (1),300,180,5,190417,535352,6333,0,5,1756.54742581046
input-data-passengers-015 (1),300,180,6,253340,555685,6343,0,6,1289.80987918042
input-data-passengers-015 (1),300,180,7,143696,413171,6297,0,7,1615.45000161079
input-data-passengers-015 (1),300,180,8,143605,370436,6376,0,8,1756.48297911196
input-data-passengers-015 (1),300,180,9,143605,328433,6334,0,9,1495.37742689108
input-data-passengers-015 (1),300,180,10,144684,287906,6354,0,10,1438.62589293361
input-data-passengers-015 (1),300,180,11,144528,259632,6289,0,11,1352.03779241381
input-data-passengers-015 (1),300,180,12,144526,231459,6365,0,12,1387.58241028542
input-data-passengers-015 (1),300,180,13,144726,258615,6374,0,13,1317.99780063237
input-data-passengers-015 (1),300,180,14,144710,258613,6351,0,14,1359.33942462847
input-data-passengers-015 (1),300,180,15,144530,237934,6391,0,15,1340.43576773013
input-data-passengers-015 (1),300,180,16,144719,258611,6392,0,16,1357.81439741953
input-data-passengers-015 (1),300,180,17,144745,258615,6288,0,17,1305.67281398307
input-data-passengers-015 (1),300,180,18,144718,256937,6364,0,18,1321.26005420928
input-data-passengers-015 (1),300,180,19,144713,258611,6343,0,19,1238.39290884999
input-data-passengers-015 (1),300,180,20,144711,258616,6345,0,20,1304.79369623362
input-data-passengers-015 (1),300,360,1,0,260629,4771,0,1,3504.92351442703
input-data-passengers-015 (1),300,360,2,0,207929,4725,0,2,3069.27498498627
input-data-passengers-015 (1),300,360,3,0,159331,4802,0,3,2673.23504772452
input-data-passengers-015 (1),300,360,4,23,115974,4746,0,4,2557.60701040071
