file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,150,90,1,52737,330177,1939,0,1,2241.52557379951
input-data-passengers-06,180,90,1,52737,339688,1971,0,1,1384.50799977113
input-data-passengers-06,210,90,1,52737,349205,1941,0,1,1992.99126179439
input-data-passengers-06,240,90,1,52737,358698,1929,0,1,2364.51283158687
input-data-passengers-06,270,90,1,52737,368210,1961,0,1,1253.9325949293
input-data-passengers-06,300,90,1,52737,377722,1924,0,1,1883.21103317103
input-data-passengers-06,150,90,2,96459,327238,1973,0,2,1305.34035893851
input-data-passengers-06,180,90,2,96459,336572,1910,0,2,1304.30042484902
input-data-passengers-06,210,90,2,96459,345895,1868,0,2,1336.84914817394
input-data-passengers-06,240,90,2,96459,355239,2041,0,2,1673.55334495984
input-data-passengers-06,270,90,2,96459,364599,2001,0,2,1504.53544030574
input-data-passengers-06,300,90,2,96459,373964,1902,0,2,2399.82067352194
input-data-passengers-06,150,90,3,135470,363884,2238,0,3,1154.29031792312
input-data-passengers-06,180,90,3,135470,374318,2219,0,3,1395.83713509432
input-data-passengers-06,210,90,3,135470,384753,2173,0,3,1403.06873746022
input-data-passengers-06,240,90,3,135470,395205,2259,0,3,1132.17329160772
input-data-passengers-06,270,90,3,135470,405646,2236,0,3,1714.98385815917
input-data-passengers-06,300,90,3,135470,416095,2290,0,3,1798.1947936817
input-data-passengers-06,150,90,4,170360,427711,2677,0,4,1544.92003265475
input-data-passengers-06,180,90,4,170360,440271,2552,0,4,1241.59348421545
input-data-passengers-06,210,90,4,170360,452797,2718,0,4,1411.53002473414
input-data-passengers-06,240,90,4,170361,465359,2664,0,4,1316.05018078124
input-data-passengers-06,270,90,4,170361,477887,2635,0,4,1480.07949426604
input-data-passengers-06,300,90,4,170361,490419,2608,0,4,1537.14350793266
input-data-passengers-06,150,90,5,219112,494025,3029,0,5,741.325800673649
input-data-passengers-06,180,90,5,219116,508377,3070,0,5,1644.16963374378
input-data-passengers-06,210,90,5,219116,522718,3032,0,5,945.726002238931
input-data-passengers-06,240,90,5,219111,537057,3052,0,5,1110.60268356716
input-data-passengers-06,270,90,5,219116,551391,2995,0,5,1069.65507422378
input-data-passengers-06,300,90,5,219117,565734,2975,0,5,1492.9846362921
input-data-passengers-06,150,90,6,303603,537469,3051,0,6,1574.99178693869
input-data-passengers-06,180,90,6,303605,551942,3086,0,6,1163.64512407312
input-data-passengers-06,210,90,6,302982,565701,3143,0,6,1447.1847963969
input-data-passengers-06,240,90,6,302953,580125,3082,0,6,1299.88115613784
input-data-passengers-06,270,90,6,302954,594583,3040,0,6,1125.26741826792
input-data-passengers-06,300,90,6,302956,609048,3139,0,6,1087.53964742961
input-data-passengers-06,150,90,7,276889,530552,3457,0,7,1043.31496311519
input-data-passengers-06,180,90,7,276886,546754,3534,0,7,1016.49861271193
input-data-passengers-06,210,90,7,276915,562995,3271,0,7,820.70891190852
input-data-passengers-06,240,90,7,276889,579195,3490,0,7,1240.56421528166
input-data-passengers-06,270,90,7,276887,595434,3497,0,7,1004.82876980773
input-data-passengers-06,300,90,7,276963,610524,3436,0,7,908.86332581168
input-data-passengers-06,150,90,8,319364,530060,3430,0,8,886.253311601383
input-data-passengers-06,180,90,8,319363,546287,3422,0,8,692.262135429353
input-data-passengers-06,210,90,8,319391,562514,3413,0,8,901.733049561322
input-data-passengers-06,240,90,8,319361,578735,3509,0,8,889.68397940157
input-data-passengers-06,270,90,8,319364,594978,3469,0,8,840.937811027652
input-data-passengers-06,300,90,8,319390,611268,3448,0,8,713.91083304505
input-data-passengers-06,150,90,9,361882,530748,3475,0,9,671.566551165608
input-data-passengers-06,180,90,9,361878,547045,3541,0,9,928.192205777931
input-data-passengers-06,210,90,9,361909,563324,3437,0,9,925.494372762765
input-data-passengers-06,240,90,9,361881,579619,3433,0,9,990.343221029267
