Station,id,avg_wait_time,total_passengers_serviced
Centraal Station,0,409.293051359517,993
Vaartsche Rijn,1,229.448815736652,2491
Galgenwaard,2,224.916509730069,1593
Kromme Rijn,3,239.992592592593,270
Padualaan,4,230.093023255814,301
Heidelberglaan,5,241.395238095238,420
UMC,6,278.209677419355,62
WKZ,7,227.368271954674,353
P+R De Uithof,8,415,2
WKZ,9,214.142857142857,7
UMC,10,281.363636363636,11
Heidelberglaan,11,213.289473684211,38
Padualaan,12,229.866666666667,120
Kromme Rijn,13,264.916666666667,108
Galgenwaard,14,227.539473684211,76
Vaartsche Rijn,15,232.041198501873,267
Depot,-1,NaN,0
