by15,P.R.Uithof,WKZ,UMC,Heidelberglaan,Padualaan,De.Kromme.Rijn,Stadion.Galgenwaard,Bleekstraat,CS.Centrumzijde
9/30/18 6:00,0.05,0.025,0.025,0.75,0.3,0.1,0.425,1.15,0
9/30/18 6:15,0.12,0.1075,0.1075,2.125,0.15,0.0975,1.4025,1.22,0
9/30/18 6:30,0.19,0.19,0.19,3.5,0,0.095,2.38,1.29,0
9/30/18 6:45,0.55,0.5,0.5,3.4,0,1,3,1.3,0
9/30/18 7:00,1.57,1,0.9,3.5,0.095,1.286,1.48,1.67,0
9/30/18 7:15,3.7,1.65,0.75,8.1,1.7,1.15,3.55,2.35,0
9/30/18 7:30,4.315,1.895,0.85,6.1,0.72,1.043,3.935,1.945,0
9/30/18 7:45,4.636666667,2.08,0.823333333,3.7,0.587333333,0.746,2.87,2.11,0
9/30/18 8:00,3.22,1.433333333,0.66,3.066666667,0.645333333,0.370666667,2.163333333,1.873333333,0
9/30/18 8:15,5.25,2.295,0.78,3.3,0.7595,0.366,1.9075,1.54,0
9/30/18 8:30,3.6775,1.595,0.6675,3.1,0.71425,0.512,1.73,1.3425,0
9/30/18 8:45,6.323333333,2.693333333,0.696666667,3.3,0.915,0.340333333,1.42,0.813333333,0
9/30/18 9:00,3.316666667,1.5,0.616666667,2.5,0.433333333,0.45,1.4,1.216666667,0
9/30/18 9:15,2.93,1.31,0.673333333,2.866666667,0.655,0.414,1.176666667,0.756666667,0
9/30/18 9:30,3.533333333,1.563333333,0.67,3.2,0.916666667,0.370666667,1.123333333,0.896666667,0
9/30/18 9:45,3.59,1.57,0.676666667,5.633333333,2.105666667,0.864666667,1.503333333,1.15,0
9/30/18 10:00,1.87,0.923333333,0.636666667,5.033333333,2.680333333,0.653,2.03,1.166666667,0
9/30/18 10:15,3.453333333,1.536666667,0.66,5.3,6.022,0.603666667,1.823333333,0.8,0
9/30/18 10:30,6.3725,2.5775,0.7525,12.8,10.1975,1.438,2.03,1.4325,0
9/30/18 10:45,4.753333333,2.123333333,0.863333333,35.53333333,9.302,7.426666667,1.77,1.293333333,0
9/30/18 11:00,3.86,1.783333333,0.876666667,18.46666667,7.901,4.697333333,2.336666667,1.44,0
9/30/18 11:15,2.403333333,1.23,0.816666667,11.7,9.580333333,3.034333333,2.646666667,1.843333333,0
9/30/18 11:30,4.143333333,1.913333333,0.786666667,10.56666667,7.733333333,1.254,2.143333333,4.013333333,0
9/30/18 11:45,6.286666667,2.65,0.84,23.2,10.667,1.508,3.49,2.286666667,0
9/30/18 12:00,5.446666667,2.443333333,0.92,21.46666667,13.58766667,1.412666667,3.826666667,2.966666667,0
9/30/18 12:15,3.725,1.7025,0.8425,18.2,18.59525,1.54775,3.7975,3.06,0
9/30/18 12:30,6.68,2.826666667,0.856666667,33.36666667,21.079,3.016,3.253333333,3.126666667,0
9/30/18 12:45,8.03,3.32,0.886666667,71.66666667,25.07933333,8.222,3.003333333,2.763333333,0
