by15,AZU.1,Heidelberglaan.1,Padualaan.1,De.Kromme.Rijn.1,Stadion.Galgenwaard.1,Rubenslaan.1,Sterrenwijk.1,Bleekstraat.1,CS.Centrumzijde.1
9/30/2018 6:11,0,0,0,0,0,0,0,0,5.7
9/30/2018 6:26,0,0,0,0,0.095,0.048,0,0.62,9.2
9/30/2018 6:41,0,0,0,0,0.45,0.1,0,0.3,11.9
9/30/2018 7:11,0,0,0.025,1.0395,0.9395,0.1225,0.143,0.95,15.75
9/30/2018 7:26,0,0,0.0475,1.4225,1.35,0.893,0.095,1.62,18.7
9/30/2018 7:41,0,0,0,1.0715,1.143,0.9285,0.4525,3.235,13.4
9/30/2018 7:56,0,0,0.024,0.51725,0.74575,0.32775,0.204,2.3125,12.175
9/30/2018 8:11,0,0.016,0.508,0.904666667,1.061,0.427,0.315,1.426666667,10.93333333
9/30/2018 8:26,0,0.024,0.524,2.4165,0.738,0.619,0.369,1.19,10.85
9/30/2018 8:41,0,0.017666667,0.08,0.434333333,0.625333333,0.705,0.201,1.32,11.8
9/30/2018 8:56,0,0.016666667,1.5,2.716666667,0.533333333,0.533333333,0.166666667,0.783333333,7.6
9/30/2018 9:11,0,0,0.422,0.797333333,0.468666667,0.414666667,0.104333333,0.62,8.9
9/30/2018 9:26,0,0.054,0.070666667,0.446,0.246,0.220666667,0.083333333,0.503333333,9.466666667
9/30/2018 9:41,0,0.033333333,0.535333333,1.168666667,0.464666667,0.516666667,0.322333333,0.96,11.6
9/30/2018 9:56,0,0.066666667,0.016666667,0.213666667,0.396,0.369,0.177666667,1.81,13.2
9/30/2018 10:11,0,0.0125,0.1645,2.66525,0.43725,0.26725,0.3215,1.11,15.325
9/30/2018 10:26,0,0.066666667,0.216666667,1.8,0.716666667,0.45,0.366666667,0.983333333,30.7
9/30/2018 10:41,0,0.064333333,0.928666667,2.889,1.205333333,0.982333333,0.779333333,2.42,53.03333333
9/30/2018 10:56,0,0.016666667,0.238666667,0.737666667,1.032666667,0.531666667,0.414,1.51,43.43333333
9/30/2018 11:11,0,0.051,0.104,0.414333333,0.704333333,0.549666667,0.511666667,0.99,30.5
9/30/2018 11:26,0,0.032,0.365,0.666666667,0.730333333,0.365333333,0.365,1.3,36.93333333
9/30/2018 11:41,0,0.047666667,0.476,0.522333333,0.912,0.431666667,0.661,1.65,41.76666667
9/30/2018 11:56,0,0.0715,0.4165,0.53525,1.2145,0.77375,0.762,2.085,49.175
9/30/2018 12:11,0,0.032,0.301333333,0.666666667,1.190666667,0.857333333,0.666333333,1.603333333,47.23333333
9/30/2018 12:26,0,0.063333333,0.428666667,1.381,1.873,0.635,0.873,2.46,69.46666667
9/30/2018 12:41,0,0.143,0.285333333,1.650666667,2.174666667,1.507666667,1.587666667,4.683333333,92.66666667
9/30/2018 12:56,0,0.111333333,0.222,1.063333333,2,1.492333333,1.126666667,4.94,95.1
9/30/2018 13:11,0,0.032,0.333333333,0.381,1.301666667,0.762,0.841333333,1.92,54.6
9/30/2018 13:26,0,0.08,0.147666667,0.336333333,1.257666667,0.594333333,0.385,2.48,53.8
9/30/2018 13:41,0,0.10725,0.15475,0.39325,1.5,0.63075,0.65475,2.3075,54.55
9/30/2018 13:56,0,0.017666667,0.334,0.678,1.577333333,0.873,0.848333333,2.803333333,65.73333333
