,by15,Centrumzijde Centraal Station,Vaartscherijn,Galgenwaard,Kromme Rijn,Padualaan,Heidelberglaan,UMC,WKZ,P+R Uithof
1,2018-09-30 06:00:00,147.4,2.33,0,0.286,0,0,14.048,3.143,0
2,2018-09-30 06:30:00,68.2,6.6,1.5,0.65,0.05,0,28,6.55,0
3,2018-09-30 06:45:00,47.7,1.14,1.57,0.524,0,0,13.238,3.048,0
4,2018-09-30 07:00:00,75,5.28,2.15,0.295,0.1,0,23.35,5.54,0
5,2018-09-30 07:15:00,85.7,11.1,2.48,0.143,0.143,0.048,29,6.809,0
6,2018-09-30 07:30:00,240.8,30.71,4.33,0.336,0.193,0.048,66.714,15.386,0
7,2018-09-30 07:45:00,213.7,31.75,3.59,1.283,0.1,0.05,48.05,11.067,0
8,2018-09-30 08:00:00,630.8,24.62,8.95,2.19,0.239,0.238,138.287,29.857,0
9,2018-09-30 08:15:00,720.6,13.95,8.24,1.001,0.381,0.428,171.19,36.143,0
10,2018-09-30 08:30:00,1010.5,23.53,10.37,2.289,0.949,0.671,244.817,51.886,0
11,2018-09-30 08:45:00,376.2,9.06,5.34,1.226,0.543,0.19,61.288,13.812,0
12,2018-09-30 09:00:00,399.8,7.67,5.14,0.595,0.254,0.301,65.286,14.683,0
13,2018-09-30 09:15:00,304.3,5.55,3.75,0.6,0.2,0.05,54.45,12.3,0
14,2018-09-30 09:30:00,266.3,3.94,4.36,0.825,0.05,0.15,35,8.588,0
15,2018-09-30 09:45:00,270.1,5.76,3.48,0.97,0.542,0.109,37.161,8.938,0
16,2018-09-30 10:00:00,332.1,5.2,6.62,1.344,0.526,0.059,39.865,9.432,0
17,2018-09-30 10:15:00,404.8,8.77,6.04,1.341,0.58,0.39,52.16,11.902,0
18,2018-09-30 10:30:00,371.4,8.52,8.69,1.262,0.738,0.159,43.154,9.999,0
19,2018-09-30 10:45:00,241.1,7.13,6.55,4.518,0.4,0.5,20.335,5.789,0
20,2018-09-30 11:00:00,133.3,5.71,3.85,1.142,0.523,0.191,11.381,3.524,0
21,2018-09-30 11:15:00,139.4,3.37,3.42,0.488,0.148,0.145,8.057,2.847,0
22,2018-09-30 11:30:00,138.2,3.1,4.09,1.095,0.333,0,9.857,3.047,0
23,2018-09-30 11:45:00,118.2,2.77,3.03,0.864,0.143,0.048,8.631,2.91,0
24,2018-09-30 12:00:00,166.3,3.32,3.9,1.064,0.578,0.195,9.622,3.238,0
