by15,AZU.1,Heidelberglaan.1,Padualaan.1,De.Kromme.Rijn.1,Stadion.Galgenwaard.1,Rubenslaan.1,Sterrenwijk.1,Bleekstraat.1,CS.Centrumzijde.1
9/30/18 6:10,4.19,2.3,4.81,0.57,0.71,0.9,0.29,0.48,0
9/30/18 6:25,23.5,9.1,1.6,1.75,4.25,1.9,0.05,0.3,0
9/30/18 6:40,9.1,6,3.05,3.05,11.75,6.7,0.95,0.15,0
9/30/18 6:55,12.786,5.7,2.88,2.81,8.88,6.85,0.595,0.905,0
9/30/18 7:10,17.231,18.1,3.925,2.045,10.495,4.35,0.335,0.995,0
9/30/18 7:25,18.28533333,26.66666667,8.81,2.063333333,7.936666667,3.833333333,0.826666667,1.173333333,0
9/30/18 7:40,19.97925,21.7,24.66,2.2725,8.26,3.75,1.275,3.4875,0
9/30/18 7:55,28.34075,31.7,47.67,3.7875,7.7775,4.6,2.465,17.085,0
9/30/18 8:10,66.41266667,67.96666667,56.85666667,8.016666667,7.473333333,3.9,0.796666667,27.09333333,0
9/30/18 8:25,85.0385,93.875,68.2925,8.5525,7.6175,5.3,1.4625,15.2,0
9/30/18 8:40,26.82366667,47.33333333,44.43,4.293333333,7.166666667,11.4,1.816666667,16.68333333,0
9/30/18 8:55,19.564,25.9,27.7775,2.3175,6.775,10.7,2.2,16.1975,0
9/30/18 9:10,19.751,33.36666667,27.76666667,2.996666667,4.696666667,7.2,1.74,9.01,0
9/30/18 9:25,15.61266667,32.4,28.17,2.2,3.663333333,6.3,0.863333333,8.5,0
9/30/18 9:40,13.566,26.06666667,29.30666667,2.45,2.883333333,6.2,1.113333333,11.56666667,0
9/30/18 9:55,17.63166667,29.4,43.37,3.933333333,2.643333333,5.066666667,0.966666667,15.67,0
9/30/18 10:10,11.751,44.76666667,42.69333333,6.8,2.156666667,3.333333333,1.13,6.723333333,0
9/30/18 10:25,26.54433333,62.33333333,42.26666667,8.27,1.896666667,2.966666667,0.8,9.363333333,0
9/30/18 10:40,7.23625,31.675,27.6725,3.385,2.455,3.85,0.585,8.9275,0
9/30/18 10:55,5.297666667,15.93333333,22.36333333,1.15,1.396666667,3.066666667,1.313333333,4.463333333,0
9/30/18 11:10,2.593,15.5,12.78,1.146666667,1.156666667,2.666666667,0.64,4.193333333,0
9/30/18 11:25,3.095,21.13333333,15.71666667,1.016666667,1.413333333,3.533333333,1.65,4.856666667,0
9/30/18 11:40,3.198333333,16.06666667,17.87,1,1.466666667,3.533333333,1.213333333,4.503333333,0
9/30/18 11:55,3.419,15.66666667,20.13333333,1.433333333,2.496666667,3,1.086666667,4.103333333,0
9/30/18 12:10,5.809666667,22.86666667,20.16,2.46,2.286666667,2.933333333,1.333333333,4.856666667,0
9/30/18 12:25,9.825333333,45.43333333,31.3,7.093333333,2.173333333,3.666666667,1.38,5.68,0
9/30/18 12:40,7.19025,38.55,30.63,6.8675,1.99,3.025,1.165,3.545,0
9/30/18 12:55,5.272333333,19.43333333,24.37333333,2.033333333,4.5,3.633333333,1.14,3.363333333,0
9/30/18 13:10,6.428333333,17.23333333,16.36333333,1.476666667,2.506666667,3.533333333,1.16,2.366666667,0
9/30/18 13:25,3.619,11,10.30333333,1.126666667,1.903333333,2.533333333,0.886666667,2.49,0
9/30/18 13:40,4.031666667,8.866666667,9.473333333,1.046666667,1.556666667,3.233333333,0.84,1.89,0
9/30/18 13:55,4.297666667,8.766666667,7.916666667,1.22,2.276666667,2.8,0.933333333,2.176666667,0
9/30/18 14:10,3.460333333,11.9,7.65,2.173333333,1.093333333,1.933333333,1.016666667,1.553333333,0
9/30/18 14:25,5.9385,20.325,9.45,4,1.3975,2.5,0.6675,2.1125,0
9/30/18 14:40,6.777333333,17.9,10.13666667,3.836666667,2.97,2.633333333,1.083333333,1.753333333,0
9/30/18 14:55,3.418333333,7.666666667,6.223333333,1.3,1.14,2.466666667,1.21,1.563333333,0
9/30/18 15:10,2.72675,6.8,5.97,0.495,1.35,2.4,0.795,1.275,0
9/30/18 15:25,2.455666667,4.533333333,4.623333333,0.336666667,1.11,2.266666667,1.126666667,1.273333333,0
9/30/18 15:40,3.41025,4.4,3.5025,0.4775,1.4475,2.35,1.115,1.24,0
9/30/18 15:55,3.295666667,4.166666667,3.453333333,0.41,3.406666667,2.233333333,1.01,0.866666667,0
9/30/18 16:10,3.73375,4.1,3.335,0.5025,1.0625,2.55,1.18,1.3575,0
9/30/18 16:25,3.578666667,6.5,5.86,1.59,3.46,2.066666667,1.22,1.613333333,0
9/30/18 16:40,2.859,6.775,5.38,0.6725,4.3725,2.475,1.2275,1.0325,0
9/30/18 16:55,3.015,7.333333333,3.84,0.886666667,1.836666667,2.566666667,0.783333333,0.8,0
9/30/18 17:10,3.91475,5.175,2.61,0.795,2.7475,2.6,1.2525,1.24,0
9/30/18 17:25,1.682,4.866666667,2.416666667,0.983333333,4.023333333,3.266666667,1.226666667,0.956666667,0
9/30/18 17:40,1.644,3.966666667,2.263333333,0.76,1.46,3.333333333,1.38,1.426666667,0
9/30/18 17:55,2.119,5.65,2.525,1.02,1.81,3.2,2.715,1.93,0
9/30/18 18:10,1.246,7.4,2.945,1.78,5.645,4.35,2.72,1.875,0
9/30/18 18:25,2.81,9.5,2,2.29,5.57,5.1,3.57,2.29,0
9/30/18 18:40,0.714,5.8,1.38,1,3.48,5.3,3.62,3.14,0
9/30/18 18:55,1.238,7.7,1.24,1.48,5.62,10.3,5,2.05,0
9/30/18 19:10,0.714,5.7,1,1.19,3.05,5.8,2.52,2.19,0
9/30/18 19:25,0.857,3.6,0.81,0.95,1.71,5.5,3,1.1,0
9/30/18 19:40,0.25,3.6,0.7,1.05,1.55,4,2.25,1.05,0
9/30/18 19:55,0.286,4.6,0.48,0.67,2,5.1,2.24,1.52,0
9/30/18 20:10,0.143,2.9,0.14,1,0.67,3.2,1.76,0.43,0
9/30/18 20:25,0.238,3.5,0.48,0.9,1.14,3.9,2.14,0.62,0
9/30/18 20:40,0.048,3.4,0.33,0.62,0.95,2.7,1.62,0.52,0
9/30/18 20:55,0.095,2.2,0.19,0.33,1.29,3.8,1.52,1.14,0
