q;freq;tramcnt;delay;punctuality;serviced;congestion;highLatenessTrams;total_waiting_time
300;90;17;613882;914789;31098;0;17;0
150;90;18;582090;756482;32251;0;18;0
180;90;18;589411;795072;32356;0;18;0
210;90;18;574201;803782;32418;0;18;0
240;90;18;576383;837096;32420;0;18;0
270;90;18;603000;888485;32522;0;18;0
300;90;18;562429;877050;32172;0;18;0
150;90;19;369913;551052;33860;0;19;0
180;90;19;386243;596010;34195;0;19;0
210;90;19;333169;573677;34438;0;19;0
240;90;19;357085;625675;34443;0;19;0
270;90;19;298677;598879;34210;0;19;0
300;90;19;335153;660955;34254;0;19;0
150;90;20;301850;448021;34222;0;20;0
180;90;20;319337;494601;34503;0;20;0
210;90;20;321737;524267;34464;0;20;0
180;180;17;144572;199911;17272;0;17;0
210;180;17;144562;214567;17201;0;17;0
240;180;17;144702;218959;17338;0;17;0
270;180;17;144678;243953;17162;0;17;0
300;180;17;144745;258631;17492;0;17;0
150;180;18;144667;192466;17354;0;18;0
180;180;18;144473;199899;17297;0;18;0
210;180;18;144513;210997;17277;0;18;0
240;180;18;144530;222104;17190;0;18;0
270;180;18;144553;228434;17521;0;18;0
300;180;18;144821;258643;17242;0;18;0
150;180;19;144707;192480;17320;0;19;0
180;180;19;144811;199948;17438;0;19;0
210;180;19;144435;211815;17109;0;19;0
240;180;19;144426;222099;17456;0;19;0
270;180;19;144892;243940;17551;0;19;0
300;300;1;0;318260;10375;0;1;0
150;300;2;0;218887;10429;0;2;0
180;300;2;0;228244;10624;0;2;0
210;300;2;0;237578;10530;0;2;0
240;300;2;0;246865;10391;0;2;0
270;300;2;0;256243;10463;0;2;0
300;300;2;0;265591;10256;0;2;0
150;300;3;0;172197;10767;0;3;0
180;300;3;0;181124;10596;0;3;0
210;300;3;0;190055;10514;0;3;0
240;300;3;0;199011;10407;0;3;0
270;300;3;0;207970;10487;0;3;0
300;300;3;0;216940;10426;0;3;0
150;300;4;0;128881;10554;0;4;0
180;300;4;0;137743;10376;0;4;0
210;300;4;0;146549;10312;0;4;0
240;390;14;0;76516;8182;0;14;0
270;390;14;0;80121;8353;0;14;0
300;390;14;0;83719;8186;0;14;0
150;390;15;0;65717;8101;0;15;0
180;390;15;0;69322;8024;0;15;0
210;390;15;0;72918;8404;0;15;0
240;390;15;0;76516;8101;0;15;0
270;390;15;0;80117;8248;0;15;0
300;390;15;0;83718;8366;0;15;0
150;390;16;0;65715;8239;0;16;0
180;390;16;0;69317;8192;0;16;0
210;390;16;0;72916;8199;0;16;0
240;390;16;0;76516;8176;0;16;0
270;390;16;0;80119;8400;0;16;0
300;390;16;0;83719;8334;0;16;0
150;390;17;0;65719;8286;0;17;0
180;510;7;0;43188;6416;0;7;0
210;510;7;0;46006;6569;0;7;0
240;510;7;0;48829;6375;0;7;0
270;510;7;0;51647;6525;0;7;0
300;510;7;0;54467;6350;0;7;0
150;510;8;0;40370;6270;0;8;0
180;510;8;0;43183;6349;0;8;0
210;510;8;0;46010;6416;0;8;0
240;510;8;0;48827;6375;0;8;0
270;510;8;0;51650;6411;0;8;0
300;510;8;0;54466;6342;0;8;0
150;510;9;0;40368;6450;0;9;0
180;510;9;0;43188;6293;0;9;0
210;510;9;0;46008;6465;0;9;0
240;510;9;0;48826;6295;0;9;0
270;510;9;0;51649;6410;0;9;0
300;510;9;0;54468;6408;0;9;0
150;510;10;0;40366;6284;0;10;0
180;510;10;0;43188;6392;0;10;0
210;510;10;0;46007;6580;0;10;0
240;510;10;0;48827;6514;0;10;0
270;510;10;0;51643;6445;0;10;0
300;510;10;0;54466;6481;0;10;0
150;510;11;0;40366;6476;0;11;0
180;510;11;0;43189;6416;0;11;0
210;510;11;0;46009;6401;0;11;0
240;510;11;0;48828;6427;0;11;0
270;510;11;0;51650;6466;0;11;0
300;510;11;0;54464;6327;0;11;0
150;510;12;0;40370;6439;0;12;0
180;510;12;0;43188;6511;0;12;0
210;510;12;0;46011;6420;0;12;0
240;510;12;0;48828;6337;0;12;0
270;510;12;0;51645;6502;0;12;0
300;510;12;0;54466;6368;0;12;0
150;510;13;0;40368;6525;0;13;0
180;510;13;0;43194;6413;0;13;0
210;510;13;0;46007;6585;0;13;0
240;510;13;0;48826;6376;0;13;0
270;510;13;0;51649;6521;0;13;0
300;510;13;0;54467;6558;0;13;0
150;510;14;0;40364;6491;0;14;0
180;510;14;0;43185;6382;0;14;0
210;510;14;0;46011;6404;0;14;0
240;510;14;0;48825;6488;0;14;0
270;510;14;0;51649;6370;0;14;0
300;510;14;0;54465;6282;0;14;0
150;510;15;0;40368;6345;0;15;0
180;510;15;0;43188;6330;0;15;0
210;510;15;0;46008;6551;0;15;0
240;510;15;0;48829;6390;0;15;0
270;510;15;0;51649;6497;0;15;0
300;510;15;0;54467;6562;0;15;0
150;510;16;0;40367;6234;0;16;0
180;510;16;0;43186;6464;0;16;0
210;510;16;0;46009;6520;0;16;0
240;510;16;0;48829;6440;0;16;0
270;510;16;0;51649;6458;0;16;0
300;510;16;0;54468;6461;0;16;0
150;510;17;0;40369;6442;0;17;0
180;510;17;0;43191;6459;0;17;0
210;510;17;0;46007;6558;0;17;0
240;510;17;0;48826;6345;0;17;0
270;510;17;0;51647;6542;0;17;0
300;510;17;0;54472;6439;0;17;0
150;510;18;0;40366;6299;0;18;0
180;510;18;0;43191;6396;0;18;0
210;510;18;0;46010;6372;0;18;0
240;510;18;0;48828;6400;0;18;0
270;510;18;0;51652;6546;0;18;0
300;510;18;0;54466;6369;0;18;0
150;510;19;0;40368;6378;0;19;0
180;510;19;0;43186;6374;0;19;0
210;510;19;0;46009;6532;0;19;0
240;510;19;0;48829;6413;0;19;0
270;510;19;0;51646;6471;0;19;0
300;510;19;0;54469;6317;0;19;0
150;510;20;0;40366;6469;0;20;0
180;510;20;0;43190;6362;0;20;0
210;510;20;0;46007;6444;0;20;0
240;510;20;0;48827;6493;0;20;0
270;510;20;0;51647;6356;0;20;0
300;510;20;0;54468;6484;0;20;0
150;540;1;0;137663;6060;0;1;0
180;540;1;0;143160;6123;0;1;0
210;540;1;0;148645;6071;0;1;0
240;540;1;0;154146;6202;0;1;0
270;540;1;0;159616;5953;0;1;0
300;540;1;0;165091;6093;0;1;0
150;540;2;0;84919;5915;0;2;0
180;540;2;0;90460;6149;0;2;0
210;540;2;0;95932;6047;0;2;0
240;540;2;0;101400;6030;0;2;0
270;540;2;0;106893;6147;0;2;0
300;540;2;0;112410;6124;0;2;0
150;540;3;0;38523;6157;0;3;0
180;540;3;0;43553;5986;0;3;0
210;540;3;0;48644;6031;0;3;0
240;540;3;0;53762;5972;0;3;0
270;540;3;0;58845;6060;0;3;0
300;540;3;0;63961;5992;0;3;0
150;540;4;0;35495;6003;0;4;0
180;540;4;0;38163;6022;0;4;0
210;540;4;0;40835;6185;0;4;0
240;540;4;0;43500;6124;0;4;0
270;540;4;0;46174;5971;0;4;0
300;540;4;0;48844;6044;0;4;0
150;540;5;0;35493;5971;0;5;0
180;540;5;0;38165;6070;0;5;0
210;540;5;0;40831;5974;0;5;0
240;540;5;0;43500;5974;0;5;0
270;540;5;0;46172;6057;0;5;0
300;540;5;0;48841;5966;0;5;0
150;540;6;0;35491;6109;0;6;0
180;540;6;0;38162;6130;0;6;0
210;540;6;0;40834;6062;0;6;0
240;540;6;0;43500;6038;0;6;0
270;540;6;0;46170;5970;0;6;0
300;540;6;0;48840;6065;0;6;0
150;540;7;0;35493;6049;0;7;0
180;540;7;0;38161;6091;0;7;0
210;540;7;0;40835;6033;0;7;0
240;540;7;0;43508;6122;0;7;0
270;540;7;0;46173;6116;0;7;0
300;540;7;0;48842;6168;0;7;0
150;540;8;0;35490;5875;0;8;0
180;540;8;0;38160;6132;0;8;0
210;540;8;0;40832;5895;0;8;0
240;540;8;0;43501;6003;0;8;0
270;540;8;0;46172;6164;0;8;0
300;540;8;0;48841;6005;0;8;0
150;540;9;0;35494;5983;0;9;0
180;540;9;0;38162;5985;0;9;0
210;540;9;0;40831;6066;0;9;0
240;540;9;0;43502;6035;0;9;0
270;540;9;0;46175;5847;0;9;0
300;540;9;0;48840;6043;0;9;0
150;540;10;0;35492;6102;0;10;0
180;540;10;0;38165;5999;0;10;0
210;540;10;0;40833;5991;0;10;0
240;540;10;0;43503;6105;0;10;0
270;540;10;0;46174;6045;0;10;0
300;540;10;0;48840;5922;0;10;0
150;540;11;0;35491;6032;0;11;0
180;540;11;0;38165;6144;0;11;0
210;540;11;0;40836;5966;0;11;0
240;540;11;0;43504;5976;0;11;0
270;540;11;0;46173;5994;0;11;0
300;540;11;0;48844;5982;0;11;0
150;540;12;0;35492;6033;0;12;0
180;540;12;0;38162;5911;0;12;0
210;540;12;0;40834;6114;0;12;0
240;540;12;0;43501;5911;0;12;0
270;540;12;0;46171;6051;0;12;0
300;540;12;0;48843;6096;0;12;0
150;540;13;0;35497;6108;0;13;0
180;540;13;0;38168;5946;0;13;0
210;540;13;0;40835;5899;0;13;0
240;540;13;0;43503;6058;0;13;0
270;540;13;0;46172;6057;0;13;0
300;540;13;0;48842;5878;0;13;0
150;540;14;0;35490;6076;0;14;0
180;540;14;0;38163;6039;0;14;0
210;540;14;0;40832;6206;0;14;0
240;540;14;0;43505;6029;0;14;0
270;540;14;0;46171;5899;0;14;0
300;540;14;0;48844;6042;0;14;0
150;540;15;0;35494;5944;0;15;0
180;540;15;0;38162;6005;0;15;0
210;540;15;0;40836;5984;0;15;0
240;540;15;0;43500;5935;0;15;0
270;540;15;0;46171;6048;0;15;0
300;540;15;0;48841;6066;0;15;0
150;540;16;0;35497;5961;0;16;0
180;540;16;0;38163;6131;0;16;0
210;540;16;0;40831;6197;0;16;0
240;540;16;0;43502;6060;0;16;0
270;540;16;0;46168;5989;0;16;0
300;540;16;0;48843;6015;0;16;0
150;540;17;0;35493;6120;0;17;0
180;540;17;0;38163;6050;0;17;0
210;540;17;0;40831;6129;0;17;0
240;540;17;0;43504;6109;0;17;0
270;540;17;0;46170;5786;0;17;0
300;540;17;0;48839;6059;0;17;0
150;540;18;0;35491;5966;0;18;0
180;540;18;0;38162;5993;0;18;0
210;540;18;0;40831;5926;0;18;0
240;540;18;0;43502;5975;0;18;0
270;540;18;0;46172;6025;0;18;0
300;540;18;0;48840;5996;0;18;0
150;540;19;0;35493;5968;0;19;0
240;570;4;0;39242;5847;0;4;0
270;570;4;0;41798;5697;0;4;0
300;570;4;0;44342;5731;0;4;0
150;570;5;0;31591;5821;0;5;0
180;570;5;0;34141;5606;0;5;0
210;570;5;0;36690;5609;0;5;0
240;570;5;0;39242;5618;0;5;0
270;570;5;0;41791;5812;0;5;0
300;570;5;0;44341;5823;0;5;0
150;570;6;0;31592;5888;0;6;0
180;570;6;0;34144;5547;0;6;0
210;570;6;0;36692;5702;0;6;0
240;570;6;0;39242;5865;0;6;0
270;570;6;0;41792;5713;0;6;0
300;570;6;0;44338;5894;0;6;0
150;570;7;0;31595;5749;0;7;0
180;570;7;0;34142;5695;0;7;0
210;570;7;0;36693;5677;0;7;0
240;570;7;0;39241;5576;0;7;0
270;570;7;0;41794;5883;0;7;0
300;570;7;0;44346;5715;0;7;0
150;570;8;0;31590;5764;0;8;0
180;570;8;0;34140;5695;0;8;0
210;570;8;0;36693;5703;0;8;0
240;570;8;0;39245;5740;0;8;0
270;570;8;0;41794;5747;0;8;0
300;570;8;0;44341;5633;0;8;0
150;570;9;0;31592;5781;0;9;0
180;570;9;0;34141;5828;0;9;0
210;570;9;0;36690;5711;0;9;0
240;570;9;0;39241;5797;0;9;0
270;570;9;0;41793;5797;0;9;0
240;90;4;170360;465946;14472;0;4;0
270;90;4;170292;478457;14834;0;4;0
300;90;4;170302;490984;14743;0;4;0
150;90;5;219209;494831;16768;0;5;0
180;90;5;219103;509034;16860;0;5;0
210;90;5;219207;523469;16858;0;5;0
240;90;5;219113;537719;16948;0;5;0
270;90;5;219110;552055;16846;0;5;0
300;90;5;219107;566436;16865;0;5;0
150;90;6;303720;538272;16919;0;6;0
180;90;6;303811;552833;16749;0;6;0
210;90;6;302695;566202;16946;0;6;0
240;90;6;302945;580812;17167;0;6;0
270;90;6;302949;595314;17295;0;6;0
300;90;6;303176;609972;16982;0;6;0
150;90;7;276680;531226;19344;0;7;0
240;120;8;306837;565061;19262;0;8;0
270;120;8;306760;581295;19287;0;8;0
300;120;8;306552;597106;19368;0;8;0
150;120;9;347351;514546;19030;0;9;0
180;120;9;348209;531612;19353;0;9;0
210;120;9;346985;546725;19227;0;9;0
240;120;9;347081;562930;19153;0;9;0
270;120;9;347497;579652;19219;0;9;0
300;120;9;347358;595557;19109;0;9;0
150;120;10;388951;514843;19424;0;10;0
180;120;10;388855;530992;19108;0;10;0
210;120;10;389097;547564;19363;0;10;0
240;120;10;388987;563680;19063;0;10;0
270;120;10;388975;579951;19159;0;10;0
300;120;10;388978;596259;19121;0;10;0
150;120;11;415926;542461;20808;0;11;0
240;210;2;86670;345888;10872;0;2;0
270;210;2;86668;355280;10897;0;2;0
300;210;2;86670;364612;10616;0;2;0
150;210;3;120783;338472;12253;0;3;0
180;210;3;120783;348713;12034;0;3;0
210;210;3;120784;359040;12018;0;3;0
240;210;3;120846;369369;12038;0;3;0
270;210;3;120784;379616;12303;0;3;0
300;210;3;120785;389909;12110;0;3;0
150;210;4;138672;387111;14497;0;4;0
180;210;4;138747;399646;14710;0;4;0
210;210;4;138649;411915;14457;0;4;0
240;210;4;138649;424363;14466;0;4;0
270;210;4;138649;436832;14600;0;4;0
300;210;4;138707;449333;14621;0;4;0
150;210;5;92697;305788;14856;0;5;0
180;300;7;0;102486;10499;0;7;0
210;300;7;0;107075;10607;0;7;0
240;300;7;22;111666;10527;0;7;0
270;300;7;0;116254;10482;0;7;0
300;300;7;0;120846;10681;0;7;0
150;300;8;0;97895;10481;0;8;0
180;300;8;0;102483;10643;0;8;0
210;300;8;0;107075;10420;0;8;0
240;300;8;20;111663;10397;0;8;0
270;300;8;0;116256;10543;0;8;0
300;300;8;0;120849;10494;0;8;0
150;300;9;0;97902;10465;0;9;0
180;300;9;0;102488;10431;0;9;0
210;300;9;0;107074;10317;0;9;0
240;300;9;22;111662;10443;0;9;0
270;300;9;0;116257;10593;0;9;0
240;300;20;25;111668;10639;0;20;0
270;300;20;0;116254;10541;0;20;0
300;300;20;0;120844;10571;0;20;0
150;330;1;0;244408;9508;0;1;0
180;330;1;0;252955;9628;0;1;0
210;330;1;0;261511;9607;0;1;0
240;330;1;0;270044;9578;0;1;0
270;330;1;0;278605;9554;0;1;0
