file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,300,180,1,46308,371302,1950,0,1,2045.95424929902
input-data-passengers-06,300,180,2,89400,366898,1961,0,2,1706.13743010424
input-data-passengers-06,300,180,3,126340,405118,2152,0,3,1889.26698064219
input-data-passengers-06,300,180,4,158457,478200,2695,0,4,1451.33390896167
input-data-passengers-06,300,180,5,190420,535128,3026,0,5,1740.52756884355
input-data-passengers-06,300,180,6,253340,555485,3087,0,6,1165.70614394746
input-data-passengers-06,300,180,7,143701,412983,3105,0,7,794.237887581428
input-data-passengers-06,300,180,8,143613,370261,3245,0,8,1005.58928096815
input-data-passengers-06,300,180,9,143614,328219,3082,0,9,940.195965161358
input-data-passengers-06,300,180,10,144711,287748,3165,0,10,880.139308713854
input-data-passengers-06,300,180,11,144522,259604,3171,0,11,808.470355617761
input-data-passengers-06,300,180,12,144714,258607,3113,0,12,757.152144489809
input-data-passengers-06,300,180,13,144720,258612,3134,0,13,742.812465423223
input-data-passengers-06,300,180,14,144714,258611,3087,0,14,762.445799570215
input-data-passengers-06,300,180,15,144757,258610,3008,0,15,779.073104600269
input-data-passengers-06,300,180,16,144717,258609,3073,0,16,745.738654351689
input-data-passengers-06,300,180,17,144714,258607,3081,0,17,700.267613631269
input-data-passengers-06,300,180,18,144716,258612,3102,0,18,745.416243584991
input-data-passengers-06,300,180,19,144716,258605,3080,0,19,740.902839162835
input-data-passengers-06,300,180,20,144716,258608,3086,0,20,810.75475751423
input-data-passengers-06,300,360,1,0,260449,1622,0,1,1957.31446422513
input-data-passengers-06,300,360,2,0,207733,1605,0,2,1448.70591148277
input-data-passengers-06,300,360,3,0,159146,1596,0,3,1805.41020400884
input-data-passengers-06,300,360,4,28,115795,1589,0,4,1539.39381929248
input-data-passengers-06,300,360,5,28,93839,1655,0,5,1624.74776001241
input-data-passengers-06,300,360,6,28,93839,1632,0,6,1488.78886000538
input-data-passengers-06,300,360,7,28,93840,1637,0,7,1474.27977946998
input-data-passengers-06,300,360,8,27,93841,1605,0,8,1564.17760406774
input-data-passengers-06,300,360,9,28,93840,1562,0,9,1501.00977793226
input-data-passengers-06,300,360,10,27,93842,1622,0,10,1607.23239395604
input-data-passengers-06,300,360,11,27,93839,1611,0,11,1404.34516398506
input-data-passengers-06,300,360,12,27,93842,1624,0,12,1505.57429748979
input-data-passengers-06,300,360,13,28,93846,1600,0,13,1456.28139005608
input-data-passengers-06,300,360,14,26,93840,1632,0,14,1496.75522164402
input-data-passengers-06,300,360,15,28,93839,1625,0,15,1427.3903256034
input-data-passengers-06,300,360,16,27,93841,1639,0,16,1479.93528975314
input-data-passengers-06,300,360,17,25,93839,1624,0,17,1641.7166481216
input-data-passengers-06,300,360,18,28,93839,1615,0,18,1451.96869284646
input-data-passengers-06,300,360,19,28,93842,1608,0,19,1557.55347609571
input-data-passengers-06,300,360,20,28,93839,1615,0,20,1540.03929275498
input-data-passengers-06,300,540,1,0,164842,1148,0,1,2300.04290030914
input-data-passengers-06,300,540,2,0,112135,1107,0,2,2304.97699685404
input-data-passengers-06,300,540,3,0,63710,1157,0,3,2122.0916404297
input-data-passengers-06,300,540,4,0,48839,1113,0,4,2114.96349225605
input-data-passengers-06,300,540,5,0,48839,1090,0,5,2324.91338798137
input-data-passengers-06,300,540,6,0,48838,1060,0,6,2286.15183721547
input-data-passengers-06,300,540,7,0,48839,1157,0,7,2198.7424080326
input-data-passengers-06,300,540,8,0,48840,1130,0,8,2239.95128068102
input-data-passengers-06,300,540,9,0,48838,1120,0,9,2203.99065128866
input-data-passengers-06,300,540,10,0,48841,1109,0,10,2278.96260227049
input-data-passengers-06,300,540,11,0,48839,1174,0,11,2022.08196766066
input-data-passengers-06,300,540,12,0,48840,1108,0,12,2258.70080418665
input-data-passengers-06,300,540,13,0,48838,1161,0,13,2141.09832717112
input-data-passengers-06,300,540,14,0,48840,1174,0,14,2004.31059721873
input-data-passengers-06,300,540,15,0,48838,1101,0,15,2314.33056126739
input-data-passengers-06,300,540,16,0,48841,1211,0,16,2119.20506595418
input-data-passengers-06,300,540,17,0,48839,1100,0,17,2131.55728013099
input-data-passengers-06,300,540,18,0,48841,1099,0,18,2129.03276472966
input-data-passengers-06,300,540,19,0,48841,1143,0,19,2368.49581032664
input-data-passengers-06,300,540,20,0,48840,1104,0,20,2101.86667263962
input-data-passengers-06,300,720,1,0,117039,904,0,1,3608.38878192824
input-data-passengers-06,300,720,2,0,64330,872,0,2,3135.56053678209
input-data-passengers-06,300,720,3,0,26405,883,0,3,2781.69414151214
input-data-passengers-06,300,720,4,0,26338,854,0,4,2838.56989545688
input-data-passengers-06,300,720,5,0,26339,870,0,5,2744.95102199913
input-data-passengers-06,300,720,6,0,26339,810,0,6,2960.65308525737
input-data-passengers-06,300,720,7,0,26338,848,0,7,2717.69700090119
input-data-passengers-06,300,720,8,0,26339,822,0,8,2975.61159981302
input-data-passengers-06,300,720,9,0,26342,851,0,9,2539.71774895499
input-data-passengers-06,300,720,10,0,26340,879,0,10,3104.09356406657
input-data-passengers-06,300,720,11,0,26339,840,0,11,2687.11561027798
input-data-passengers-06,300,720,12,0,26338,830,0,12,3015.88617234321
input-data-passengers-06,300,720,13,0,26340,859,0,13,2410.76431017074
input-data-passengers-06,300,720,14,0,26339,871,0,14,2682.34983356933
input-data-passengers-06,300,720,15,0,26341,821,0,15,3094.12457478153
input-data-passengers-06,300,720,16,0,26340,851,0,16,2954.33200716837
input-data-passengers-06,300,720,17,0,26341,841,0,17,2616.15106839068
input-data-passengers-06,300,720,18,0,26338,873,0,18,2597.24687376022
input-data-passengers-06,300,720,19,0,26340,891,0,19,3211.23319896256
input-data-passengers-06,300,720,20,0,26338,837,0,20,3237.31592772849
input-data-passengers-06,300,900,1,0,88360,702,0,1,3089.14887658507
input-data-passengers-06,300,900,2,0,35645,683,0,2,3447.96654396748
input-data-passengers-06,300,900,3,0,12840,708,0,3,3734.64496455553
input-data-passengers-06,300,900,4,0,12838,755,0,4,3709.1679699854
input-data-passengers-06,300,900,5,0,12838,733,0,5,3663.96242132876
input-data-passengers-06,300,900,6,0,12839,738,0,6,3537.75608752106
input-data-passengers-06,300,900,7,0,12839,678,0,7,3680.98414575178
input-data-passengers-06,300,900,8,0,12838,685,0,8,3944.12516845224
input-data-passengers-06,300,900,9,0,12839,756,0,9,3593.89124068334
input-data-passengers-06,300,900,10,0,12838,697,0,10,3107.97156868319
input-data-passengers-06,300,900,11,0,12838,720,0,11,3281.91545579337
input-data-passengers-06,300,900,12,0,12839,748,0,12,3704.23536954398
input-data-passengers-06,300,900,13,0,12839,745,0,13,3469.33979330687
input-data-passengers-06,300,900,14,0,12839,740,0,14,3811.26137806039
input-data-passengers-06,300,900,15,0,12838,717,0,15,3459.96323479995
input-data-passengers-06,300,900,16,0,12839,694,0,16,3766.44439628446
input-data-passengers-06,300,900,17,0,12839,673,0,17,3931.31575098773
input-data-passengers-06,300,900,18,0,12839,689,0,18,3507.92336182067
input-data-passengers-06,300,900,19,0,12838,712,0,19,2947.52897962952
input-data-passengers-06,300,900,20,0,12838,724,0,20,3515.36033509509
