time,station,average_waiting_time
6-7,P+R.Uithof,39.6891494933516
7-8,P+R.Uithof,3.57223155908287
8-9,P+R.Uithof,9.65851961635053
9-10,P+R.Uithof,18.3985151071101
10-11,P+R.Uithof,10.1028086990118
11-12,P+R.Uithof,20.9947013668716
12-13,P+R.Uithof,4.89366822876036
13-14,P+R.Uithof,36.0408358741552
14-15,P+R.Uithof,35.0628726184368
15-16,P+R.Uithof,23.4822733420879
16-17,P+R.Uithof,10.14054806903
17-18,P+R.Uithof,19.7814414091408
18-19,P+R.Uithof,15.4599742218852
19-20,P+R.Uithof,16.9950972031802
20-21,P+R.Uithof,29.809542465955
21-22,P+R.Uithof,7.77239210903645
6-7,WKZ,18.1957906857133
7-8,WKZ,27.6000954955816
8-9,WKZ,14.510281290859
9-10,WKZ,3.03974713198841
10-11,WKZ,18.6590323317796
11-12,WKZ,20.3828245680779
12-13,WKZ,35.8522013574839
13-14,WKZ,34.8779162671417
14-15,WKZ,19.8193851672113
15-16,WKZ,23.8606763351709
16-17,WKZ,0.686865383759141
17-18,WKZ,39.1995667293668
18-19,WKZ,18.4152485150844
19-20,WKZ,26.4396100025624
20-21,WKZ,25.6350349262357
21-22,WKZ,31.030655009672
6-7,UMC,27.8401774633676
7-8,UMC,16.1520887352526
8-9,UMC,10.0426542572677
9-10,UMC,25.6670244038105
10-11,UMC,25.5187995824963
11-12,UMC,24.6735222637653
12-13,UMC,11.5574995614588
13-14,UMC,28.0009069200605
14-15,UMC,18.4743899479508
15-16,UMC,29.3969269376248
16-17,UMC,31.4998724125326
17-18,UMC,2.51590672880411
18-19,UMC,34.7191806323826
19-20,UMC,19.8814582638443
20-21,UMC,22.4152376595885
21-22,UMC,32.4830449279398
6-7,Heidelberglaan,30.2766976505518
7-8,Heidelberglaan,5.69836160168052
8-9,Heidelberglaan,39.8191209230572
9-10,Heidelberglaan,34.4962204247713
10-11,Heidelberglaan,19.8120212741196
11-12,Heidelberglaan,16.5852394886315
12-13,Heidelberglaan,20.1740732975304
13-14,Heidelberglaan,29.8522310797125
14-15,Heidelberglaan,39.8920641932636
15-16,Heidelberglaan,21.6105826664716
16-17,Heidelberglaan,11.0308004915714
17-18,Heidelberglaan,20.0121125485748
18-19,Heidelberglaan,21.3977466430515
19-20,Heidelberglaan,38.6916384100914
20-21,Heidelberglaan,17.0374872349203
21-22,Heidelberglaan,11.9297453574836
6-7,Padualaan,3.63458137027919
7-8,Padualaan,38.7632425874472
8-9,Padualaan,21.4590461738408
9-10,Padualaan,6.10542974434793
10-11,Padualaan,12.3552271630615
11-12,Padualaan,7.9496299661696
12-13,Padualaan,19.9099540244788
13-14,Padualaan,13.0682699289173
14-15,Padualaan,33.3261676318944
15-16,Padualaan,7.57754939608276
16-17,Padualaan,13.4077142644674
17-18,Padualaan,11.1174506973475
18-19,Padualaan,20.9875159524381
19-20,Padualaan,6.61773198284209
20-21,Padualaan,24.4394769519567
21-22,Padualaan,13.4737819619477
6-7,Kromme.Rijn,4.84977912157774
7-8,Kromme.Rijn,21.2180805392563
8-9,Kromme.Rijn,7.2322337795049
9-10,Kromme.Rijn,23.5002137254924
10-11,Kromme.Rijn,37.5176493637264
11-12,Kromme.Rijn,13.1261472776532
12-13,Kromme.Rijn,21.8209265824407
13-14,Kromme.Rijn,23.146260548383
14-15,Kromme.Rijn,28.1190167367458
15-16,Kromme.Rijn,25.9107290487736
